File 1  File 2  Percent Similarity
22	27	72.5646%
15	24	72.5253%
16	21	72.3404%
21	51	72.1881%
5	44	71.8447%
7	20	71.785%
24	51	71.6636%
28	32	71.6505%
2	4	71.6287%
6	41	71.5888%
15	20	71.5152%
21	37	71.3701%
14	41	71.3402%
29	40	71.1965%
31	40	71.028%
5	21	70.8738%
2	29	70.7531%
8	29	70.7531%
5	13	70.6796%
12	42	70.6542%
23	38	70.4501%
28	41	70.2913%
46	51	70.217%
15	51	70.101%
9	40	70.0441%
8	9	69.8774%
2	9	69.8774%
22	32	69.7813%
6	24	69.7196%
33	42	69.7168%
1	39	69.6707%
25	51	69.6335%
21	31	69.5297%
3	4	69.5271%
15	22	69.2929%
24	42	69.287%
23	40	69.2759%
16	20	69.2671%
22	24	69.1849%
16	32	69.0307%
12	25	68.972%
28	47	68.932%
1	51	68.8042%
23	51	68.6888%
21	39	68.5072%
22	37	68.3897%
5	23	68.3495%
15	21	68.2828%
8	42	68.1261%
2	42	68.1261%
31	34	68.0374%
6	18	68.0374%
6	7	68.0374%
7	27	67.9463%
21	40	67.8937%
48	51	67.6529%
25	36	67.5393%
21	29	67.2802%
22	46	67.1968%
5	41	66.7961%
7	12	66.7946%
7	51	66.6027%
5	18	66.6019%
14	34	66.3918%
1	30	66.3778%
14	40	66.1856%
31	51	66.1682%
15	25	66.0606%
1	42	66.0312%
5	37	66.0194%
25	38	65.9686%
21	38	65.8487%
7	24	65.8349%
5	7	65.8252%
22	41	65.8052%
3	13	65.6743%
14	44	65.567%
6	31	65.4206%
14	17	65.3608%
3	42	65.324%
15	35	65.2525%
35	39	65.1429%
23	48	64.9706%
35	51	64.9524%
7	30	64.8752%
6	15	64.8598%
6	39	64.8598%
6	51	64.8598%
16	42	64.7754%
16	23	64.7754%
2	30	64.6235%
8	30	64.6235%
27	38	64.6154%
23	34	64.5793%
23	37	64.5793%
7	31	64.4914%
21	35	64.4172%
14	51	64.3299%
5	17	64.2718%
7	18	64.1075%
11	42	64.1026%
22	34	64.0159%
22	40	64.0159%
21	45	64.0082%
6	13	63.9252%
12	36	63.7383%
23	46	63.6008%
21	25	63.5992%
23	30	63.4051%
6	9	63.3645%
12	38	63.3645%
6	29	63.3645%
16	41	63.357%
23	28	63.2094%
6	30	63.1776%
31	41	63.1776%
35	42	63.0476%
3	40	63.0473%
12	20	62.9907%
34	40	62.9827%
11	20	62.9191%
1	13	62.9116%
12	46	62.8037%
22	47	62.6243%
47	51	62.6223%
0	41	62.5806%
24	29	62.5229%
14	35	62.4742%
6	38	62.4299%
15	36	62.4242%
12	24	62.243%
12	40	62.243%
3	17	62.1716%
24	40	62.1572%
38	40	62.0506%
22	28	62.0278%
3	9	61.9965%
36	51	61.9546%
27	40	61.8803%
15	30	61.8182%
25	40	61.7801%
14	31	61.6495%
7	39	61.6123%
28	48	61.5534%
16	51	61.4657%
16	18	61.4657%
26	40	61.4325%
22	44	61.4314%
4	40	61.4221%
15	38	61.4141%
5	29	61.3592%
21	49	61.3497%
3	30	61.296%
24	39	61.2431%
33	48	61.22%
33	47	61.22%
33	46	61.22%
1	17	61.1785%
21	44	61.1452%
24	41	61.0603%
6	40	60.9346%
17	40	60.9309%
23	25	60.8611%
7	15	60.8445%
7	48	60.8445%
5	45	60.7767%
25	34	60.733%
9	17	60.6461%
14	39	60.6186%
15	31	60.6061%
15	39	60.404%
5	9	60.3883%
0	32	60.2151%
14	38	60.2062%
21	30	60.1227%
23	35	60.0783%
7	35	60.0768%
31	53	60%
6	46	60%
31	52	60%
45	51	59.9641%
21	36	59.9182%
7	13	59.8848%
23	45	59.8826%
37	40	59.799%
14	19	59.7938%
21	34	59.7137%
7	46	59.6929%
35	40	59.619%
24	38	59.5978%
14	49	59.5876%
8	34	59.5447%
2	34	59.5447%
27	34	59.4872%
33	41	59.4771%
22	51	59.4433%
22	31	59.4433%
31	32	59.4393%
14	53	59.3814%
14	52	59.3814%
7	17	59.309%
7	29	59.309%
7	9	59.309%
23	47	59.2955%
24	30	59.2322%
20	40	59.1105%
12	45	59.0654%
3	18	59.0193%
7	25	58.9251%
16	37	58.8652%
5	49	58.835%
33	39	58.8235%
27	30	58.8034%
9	13	58.7372%
0	42	58.4946%
22	39	58.4493%
28	51	58.4466%
15	29	58.3838%
24	32	58.3181%
35	38	58.2857%
5	51	58.2524%
22	35	58.2505%
20	34	58.2496%
8	13	58.1436%
2	13	58.1436%
12	15	58.1308%
22	38	58.0517%
2	40	57.9685%
8	40	57.9685%
7	38	57.9655%
25	32	57.9407%
36	38	57.9407%
12	34	57.757%
6	11	57.757%
39	42	57.6378%
8	41	57.6182%
2	41	57.6182%
11	13	57.5937%
6	17	57.5701%
5	24	57.4757%
16	44	57.4468%
6	25	57.3832%
6	47	57.3832%
37	38	57.2864%
27	39	57.265%
30	32	57.2594%
12	28	57.1963%
1	38	57.1924%
5	34	57.0874%
6	28	57.0093%
35	41	56.9524%
27	29	56.9231%
6	34	56.8224%
7	40	56.8138%
2	19	56.7426%
